shot_id,cycle_time_s,cast_pressure_bar,hi_v_mm_s,p_rise_bar,filling_time_s,biscuit_thickness_mm,die_temperature_c,shot_weight_kg,reject
49,64.58,778.331,149.882,222.013,0.4071,9.791,219.842,3.107,0
50,62.257,752.072,142.355,209.831,0.4274,9.445,212.524,3.341,0
51,63.099,798.016,146.659,221.801,0.4097,9.244,210.287,3.275,0
52,64.399,808.622,150.764,213.322,0.4092,9.36,212.917,3.164,0
53,56.463,762.61,143.571,216.511,0.461,9.081,209.506,3.128,0
54,60.785,784.767,140.637,214.793,0.3871,10.196,214.348,3.235,0
55,60.213,765.96,137.914,213.427,0.4193,9.466,215.296,3.181,0
56,59.572,767.352,141.833,212.087,0.445,9.726,213.179,3.223,0
57,60.954,793.366,155.981,210.553,0.3903,9.312,223.246,3.252,0
58,67.681,782.431,141.497,224.553,0.4078,9.132,212.085,3.16,0
59,58.71,809.504,140.955,201.855,0.4031,9.418,221.562,3.122,0
60,65.679,773.344,129.587,206.644,0.4176,9.885,210.235,3.227,0
61,55.605,794.471,140.525,209.135,0.3877,9.318,214.596,3.163,0
62,60.727,781.054,136.124,211.267,0.4305,9.195,220.763,3.21,0
63,62.618,794.664,148.317,207.294,0.4283,9.554,220.731,3.106,0
64,64.228,773.176,134.631,210.237,0.4309,9.675,213.166,3.182,0
65,64.703,780.594,140.259,207.606,0.4042,10.075,218.1,3.25,0
66,65.015,779.579,139.455,196.125,0.4217,9.624,217.468,3.242,0
67,60.675,764.222,137.183,208.357,0.4078,9.725,212.141,3.145,0
68,60.243,790.951,157.543,203.955,0.4113,9.752,217.869,3.118,0
69,65.26,793.498,153.683,198.035,0.4554,9.096,224.704,3.201,0
70,61.273,790.284,148.198,211.799,0.4192,9.163,217.271,3.239,0
71,57.152,804.999,149.273,214.843,0.3924,9.121,217.25,3.228,0
72,57.694,803.72,149.083,215.112,0.4173,9.034,217.844,3.164,0
73,58.506,771.329,144.693,214.47,0.3978,9.778,207.276,3.221,0
74,63.889,787.754,151.415,195.951,0.3965,9.602,217.528,3.305,0
75,62.541,769.073,135.369,196.993,0.404,9.528,209.981,3.214,0
76,64.624,781.864,145.814,225.967,0.4115,8.593,212.365,3.086,0
77,60.376,768.312,127.272,197.722,0.4398,10.219,225.615,3.214,0
78,62.602,809.493,155.33,217.159,0.423,9.187,213.806,3.343,0
79,64.377,787.854,152.691,206.197,0.4275,10.218,211.584,3.11,0
80,60.824,775.429,141.668,209.904,0.4014,8.993,220.622,3.202,0
81,63.736,802.44,164.448,209.212,0.4046,9.216,210.47,3.184,0
82,59.485,739.545,126.695,210.465,0.435,8.729,212.461,3.207,0
83,60.62,742.987,135.418,208.986,0.4179,9.627,221.08,3.214,0
84,60.549,793.527,148.807,207.251,0.4116,9.115,215.04,3.28,0
85,57.456,778.589,143.875,201.351,0.4283,9.124,206.647,3.206,0
86,63.85,785.526,145.857,212.331,0.4123,9.02,217.942,3.289,0
87,60.216,755.144,138.293,198.823,0.4303,9.772,212.804,3.192,0
88,62.047,779.608,150.818,214.7,0.4488,9.749,222.705,3.175,0
89,63.827,817.068,165.765,235.58,0.4076,10.134,212.188,3.153,0
90,63.697,795.769,149.715,221.839,0.4373,9.26,220.46,3.073,0
91,64.528,784.445,152.041,217.296,0.429,9.577,224.182,3.219,0
92,61.626,771.891,137.655,207.699,0.3956,9.049,210.7,3.344,0
93,60.391,772.013,147.966,195.142,0.4022,9.383,213.841,3.232,0
94,61.697,741.508,128.118,195.708,0.4146,9.318,216.907,3.248,0
95,55.588,781.111,152.968,222.015,0.4043,9.663,209.944,3.171,0
96,56.501,792.194,164.133,207.891,0.4153,9.856,215.692,3.183,0
97,56.974,748.874,134.808,202.164,0.4388,9.847,213.272,3.269,0
98,58.21,766.01,125.455,204.375,0.4461,9.205,213.32,3.341,0
99,63.519,760.001,135.164,199.34,0.4305,9.849,215.427,3.304,0
100,58.559,760.731,147.842,200.811,0.4168,9.485,214.943,3.256,0
101,60.563,780.172,148.923,210.459,0.3825,9.386,215.647,3.202,0
102,66.937,745.196,136.301,200.954,0.43,9.252,212.598,3.215,1
103,60.646,790.312,155.154,206.306,0.4179,9.304,212.062,3.147,0
104,64.803,795.111,152.924,205.494,0.4195,10.11,214.743,3.099,0
105,58.452,773.529,151.583,215.627,0.4595,9.608,214.35,3.121,0
106,61.219,734.918,137.911,206.583,0.4536,9.561,212.712,3.203,0
107,58.39,760.079,149.676,209.6,0.4391,9.408,216.186,3.18,0
108,60.712,801.484,153.957,216.746,0.3973,10.356,205.772,3.097,0
109,65.193,731.752,136.863,207.073,0.4228,9.957,211.731,3.197,0
110,55.436,770.134,139.89,206.65,0.4208,9.248,212.813,3.178,0
111,63.651,759.668,134.69,211.495,0.4111,9.404,210.918,3.118,0
112,62.903,794.979,161.441,218.963,0.4253,9.425,223.254,3.174,0
113,59.742,766.606,142.495,208.272,0.4298,9.551,214.823,3.178,0
114,56.505,784.249,151.909,212.165,0.3993,9.255,215.224,3.157,0
115,62.274,790.329,148.965,204.618,0.439,9.654,212.617,3.265,0
116,59.988,811.945,150.478,204.32,0.4139,10.008,214.68,3.067,0
117,62.884,776.833,144.127,215.961,0.3897,9.04,209.03,3.061,0
118,62.083,786.814,157.096,216.221,0.4174,9.105,214.161,3.2,0
119,68.087,756.617,141.872,212.954,0.4309,9.331,211.045,3.207,0
120,61.09,800.927,139.298,210.992,0.4323,9.347,213.504,3.228,0
121,58.111,764.172,138.745,208.993,0.4179,10.199,201.734,3.162,0
122,62.681,770.281,154.56,217.675,0.4373,9.851,209.442,3.136,0
123,62.836,780.059,143.521,217.156,0.4234,9.831,222.42,3.199,0
124,67.165,754.709,124.809,212.848,0.4027,9.407,219.772,3.169,0
125,65.173,785.863,160.01,212.496,0.3931,9.4,221.976,3.309,0
126,63.356,798.16,155.225,223.345,0.4357,8.992,222.101,3.177,0
127,67.561,788.331,147.009,212.27,0.4394,9.774,219.032,3.196,0
128,57.483,748.915,133.075,212.435,0.4336,9.672,212.194,3.373,1
129,59.569,776.434,151.507,213.688,0.4478,9.95,209.522,3.186,0
130,58.479,791.42,144.632,211.895,0.4362,9.426,220.311,3.239,0
131,60.519,745.381,142.652,203.597,0.441,9.45,215.145,3.245,0
132,56.769,757.777,142.128,214.979,0.4092,9.56,226.842,3.251,0
133,64.414,797.105,151.844,234.268,0.4469,9.812,213.464,3.22,0
134,61.156,784.397,147.338,207.516,0.4286,8.985,224.763,3.214,0
135,56.411,784.342,145.078,210.585,0.412,9.758,213.545,3.207,0
136,58.141,811.348,161.724,210.11,0.4001,9.493,221.217,3.16,0
137,63.191,789.089,141.669,205.363,0.4223,9.129,223.626,3.223,0
138,65.185,793.594,137.725,220.755,0.3865,8.77,210.267,3.342,0
139,69.588,832.967,165.191,209.058,0.4194,9.452,213.486,3.285,0
140,73.073,782.241,150.091,207.327,0.4023,10.007,211.164,3.221,1
141,63.575,766.504,144.313,197.149,0.43,10.086,209.039,3.26,0
142,58.24,785.632,149.544,204.939,0.4092,9.624,217.884,3.139,0
143,53.898,783.446,143.79,196.067,0.4144,10.187,213.045,3.182,0
144,63.017,771.079,147.836,215.678,0.4086,9.485,215.384,3.266,0
145,58.911,759.718,138.596,230.989,0.4222,9.834,217.41,3.304,0
146,60.422,820.709,153.803,209.003,0.4438,9.342,205.524,3.146,0
147,59.674,784.604,144.198,196.489,0.4438,9.32,221.155,3.166,0
148,61.465,766.525,155.102,219.422,0.4297,9.263,213.19,3.353,0
149,66.051,798.715,138.47,202.748,0.4149,8.779,218.148,3.207,1
150,62.597,778.364,148.008,221.056,0.4356,9.95,218.175,3.328,0
151,61.397,775.117,131.781,204.836,0.4416,9.275,221.782,3.214,0
152,58.065,787.956,146.629,205.304,0.4031,9.219,214.003,3.217,0
153,55.636,753.246,133.938,206.143,0.4253,9.087,203.618,3.179,0
154,60.152,785.331,132.004,213.203,0.3859,9.428,215.064,3.266,0
155,61.796,814.321,158.019,211.045,0.4316,10.117,215.979,3.295,0
156,68.718,792.086,145.966,206.239,0.4541,10.233,210.635,3.128,0
157,62.495,773.5,128.356,204.748,0.4231,8.919,215.797,3.175,0
158,65.734,772.926,148.755,200.651,0.3835,9.376,213.643,3.264,0
159,60.103,771.57,152.516,214.83,0.4331,9.138,208.059,3.191,1
160,57.497,772.952,153.317,197.536,0.4055,9.846,217.817,3.165,0
161,58.333,771.182,144.867,206.418,0.4103,9.6,211.741,3.271,0
162,59.244,794.978,149.816,217.135,0.4275,9.277,212.637,3.277,0
163,70.088,753.251,146.272,212.704,0.4313,9.525,213.658,3.169,0
164,58.879,793.799,160.916,218.224,0.4078,9.333,220.803,3.215,0
165,65.186,774.918,151.41,210.89,0.4096,10.065,215.178,3.115,0
166,58.569,784.898,139.879,218.231,0.421,9.691,214.984,3.137,0
167,65.54,761.661,140.908,216.497,0.4172,9.734,213.222,3.209,0
168,63.463,804.72,155.493,215.877,0.3939,8.567,217.49,3.202,0
169,61.405,802.094,138.961,216.092,0.4085,9.477,221.675,3.132,0
170,61.845,797.187,153.442,217.861,0.4218,10.229,218.221,3.15,0
171,59.512,751.366,152.321,208.095,0.424,9.964,218.136,3.125,0
172,63.695,795.856,154.236,201.281,0.3906,8.854,218.235,3.232,0
173,60.271,786.336,157.215,216.05,0.4362,9.39,207.891,3.062,0
174,57.343,748.544,136.843,212.574,0.3786,9.079,210.061,3.129,0
175,57.144,776.892,143.555,218.406,0.4127,10.099,213.392,3.07,0
176,62.656,786.922,149.746,203.553,0.4071,9.585,211.449,3.229,0
177,68.001,793.31,143.282,202.371,0.4193,9.231,210.397,3.074,0
178,62.608,783.525,139.311,212.428,0.4292,9.512,205.712,3.202,0
179,61.549,784.994,155.362,211.71,0.439,8.587,208.213,3.315,0
180,63.086,807.122,162.743,198.817,0.4004,9.12,213.848,3.317,0
181,66.963,804.798,145.502,213.111,0.4244,9.513,215.248,3.074,0
182,62.834,728.852,136.431,193.296,0.4363,9.796,211.135,3.221,0
183,60.438,773.427,142.419,201.87,0.3908,8.821,215.207,3.131,0
184,66.204,779.348,147.183,221.294,0.4544,9.367,213.335,3.116,1
185,63.629,749.358,139.029,223.285,0.4018,9.853,220.648,3.192,0
186,67.836,784.905,153.432,202.13,0.4263,8.992,214.892,3.286,0
187,62.696,802.861,152.437,209.001,0.4213,9.58,218.565,3.242,0
188,57.347,757.883,148.236,211.053,0.4305,9.523,215.458,3.15,0
189,56.801,783.196,148.125,224.937,0.4103,10.1,207.366,3.249,0
190,68.274,766.966,145.459,206.158,0.4381,9.419,215.3,3.043,0
191,68.55,771.508,136.62,204.341,0.394,9.44,209.608,3.147,0
192,61.318,806.218,167.976,227.445,0.4123,9.799,214.378,3.142,0
193,60.544,769.433,145.119,207.028,0.4125,9.036,211.1,3.205,0
194,67.553,791.374,153.403,217.626,0.405,9.423,217.576,3.186,0
195,57.793,744.004,122.944,193.331,0.4367,9.34,207.783,3.19,0
196,58.6,811.652,148.737,209.452,0.4315,9.451,214.666,3.188,0
197,64.445,792.192,157.323,199.434,0.4108,9.797,218.155,3.202,0
198,60.501,775.89,145.775,201.727,0.4351,9.694,219.358,3.238,0
199,61.981,790.349,134.708,214.449,0.4183,9.238,211.177,3.21,0
200,61.379,754.282,144.553,209.502,0.4104,9.548,215.014,3.18,1
201,63.283,801.991,147.791,208.061,0.4099,10.022,216.075,3.228,0
202,67.348,777.11,154.012,205.993,0.4153,9.209,223.377,3.258,0
203,62.344,776.516,143.34,207.87,0.4083,9.551,207.635,3.161,0
204,64.447,772.496,144.182,212.229,0.4296,9.432,210.738,3.196,0
205,54.209,765.263,148.832,218.706,0.4279,9.478,228.087,3.281,1
206,61.815,792.402,142.438,188.435,0.3883,8.929,213.612,3.123,0
207,58.796,782.844,138.903,202.005,0.3896,9.994,205.161,3.326,0
208,57.369,789.184,146.38,211.576,0.4253,9.229,211.531,3.106,0
209,58.663,778.006,150.192,210.351,0.4058,9.859,200.755,3.176,0
210,60.73,788.539,138.246,211.741,0.4233,9.283,216.052,3.133,0
211,65.48,774.375,131.636,209.2,0.4355,9.281,219.467,3.353,1
212,56.96,817.363,161.975,211.296,0.3878,9.925,209.837,3.165,1
213,62.116,751.841,132.332,202.998,0.4016,9.848,212.66,3.165,0
214,60.16,801.685,148.76,208.863,0.4447,9.573,219.397,3.174,0
215,60.755,803.937,139.184,217.91,0.4203,9.766,206.1,3.207,0
216,65.81,766.757,136.274,202.224,0.4158,9.399,208.849,3.177,0
217,64.045,821.252,157.323,212.208,0.3929,9.497,214.105,3.191,0
218,67.082,800.714,157.727,214.267,0.4056,9.268,211.848,2.953,0
219,61.413,797.158,144.749,222.428,0.3943,9.816,213.46,3.204,0
220,59.355,779.05,156.317,210.087,0.4361,9.257,208.364,3.201,0
221,61.149,775.622,138.895,216.327,0.4071,10.02,215.969,3.273,0
222,62.921,776.737,139.24,218.589,0.4405,9.389,214.364,3.292,0
223,62.671,787.399,157.981,212.346,0.4109,9.507,217.826,3.187,0
224,57.879,802.955,153.367,210.155,0.3955,9.766,215.508,3.257,0
225,62.344,783.453,142.172,206.745,0.4115,9.508,216.075,3.123,1
226,62.867,764.071,139.135,206.663,0.3767,9.396,207.873,3.254,0
227,71.566,800.101,160.502,220.244,0.4128,9.489,218.611,3.16,0
228,69.132,800.503,161.414,215.459,0.4118,9.813,214.202,3.117,0
229,58.758,790.001,142.283,211.284,0.4323,9.268,213.778,3.187,0
230,60.908,792.818,148.548,201.779,0.3828,9.456,220.11,3.298,0
231,56.439,772.065,143.251,201.875,0.4429,9.504,210.735,3.213,0
232,59.755,762.044,132.709,224.444,0.4393,9.803,221.487,3.305,0
233,63.199,765.032,140.12,207.504,0.4463,9.465,222.366,3.148,0
234,66.582,753.082,136.962,202.033,0.4258,10.133,219.314,3.273,0
235,59.229,782.741,153.804,223.386,0.4376,9.445,209.764,3.154,0
236,59.514,777.131,152.591,213.925,0.3942,9.417,203.77,3.216,1
237,53.84,767.592,138.973,213.299,0.4359,9.44,219.415,3.215,1
238,61.382,726.459,127.44,205.032,0.4195,9.039,215.483,3.246,0
239,57.963,755.328,142.248,206.845,0.3964,9.137,210.79,3.218,0
240,59.988,799.069,146.624,209.001,0.395,9.314,220.626,3.148,0
241,58.668,766.204,144.982,198.934,0.4235,9.898,210.292,3.262,0
242,61.642,786.294,146.273,209.577,0.4036,9.488,212.836,3.321,0
243,55.321,751.294,129.602,208.981,0.4339,9.33,216.823,3.159,0
244,56.425,802.831,145.151,224.837,0.3817,9.929,208.763,3.072,1
245,70.091,781.858,155.687,213.039,0.3812,10.043,215.424,3.235,0
246,57.108,782.53,144.664,191.253,0.4441,9.939,219.859,3.177,0
247,57.832,819.572,168.354,214.386,0.4264,9.201,215.555,3.191,0
248,68.98,811.135,150.745,233.18,0.3933,9.327,222.075,3.239,0
249,73.039,780.553,147.204,217.416,0.4198,10.135,221.993,3.168,0
250,57.548,766.873,157.811,206.331,0.4416,9.584,214.504,3.181,0
251,60.601,773.371,135.609,212.663,0.4292,9.406,203.148,3.193,0
252,63.298,789.892,134.683,201.794,0.4202,9.751,209.627,3.303,0
253,68.569,781.719,154.522,201.264,0.4393,9.853,219.605,3.202,0
254,58.25,770.823,136.459,205.334,0.4091,9.3,206.799,3.114,0
255,61.068,805.897,152.624,212.41,0.4141,9.577,213.255,3.116,0
256,64.954,779.569,140.769,194.092,0.4198,9.824,217.047,3.21,0
257,63.652,822.301,159.568,204.012,0.4045,9.094,222.546,3.121,0
258,60.571,780.847,138.6,208.675,0.4128,9.504,211.953,3.091,0
259,61.491,811.856,153.297,208.56,0.4133,9.11,211.722,3.244,0
260,56.775,783.558,149.216,214.086,0.4197,9.156,214.111,3.248,1
261,61.095,796.836,142.992,199.841,0.3969,9.303,216.646,3.174,0
262,60.988,766.4,136.019,213.737,0.4378,9.667,214.107,3.221,0
263,62.882,765.118,138.104,199.013,0.4061,9.387,220.352,3.213,0
264,59.89,787.114,137.133,221.411,0.4143,9.273,210.751,3.242,0
265,63.792,798.779,147.676,196.863,0.41,9.518,215.816,3.242,0
266,65.848,782.841,146.684,201.63,0.4257,9.099,217.688,3.018,0
267,62.591,757.17,135.354,211.217,0.3876,9.65,213.07,3.183,0
268,63.337,756.251,135.976,221.328,0.442,9.896,219.359,3.236,0
269,62.202,754.423,137.187,210.802,0.4142,9.472,215.769,3.171,0
270,62.0,748.183,130.865,211.393,0.4499,9.429,218.944,3.203,0
271,59.258,780.463,149.976,211.235,0.4113,9.631,215.641,3.253,0
272,63.203,800.912,161.326,205.38,0.4139,8.79,217.026,3.206,0
273,61.63,779.555,141.616,205.334,0.4546,9.688,211.794,3.306,0
274,69.954,743.687,137.503,198.655,0.4241,10.586,212.801,3.279,1
275,67.979,779.855,143.279,199.392,0.4423,9.457,221.839,3.192,0
276,63.466,777.876,146.921,213.637,0.4212,9.458,218.353,3.186,0
277,59.1,816.133,166.8,205.811,0.4184,9.76,209.537,3.0,1
278,57.773,751.447,139.995,211.455,0.4284,10.076,215.397,3.177,0
279,66.526,775.457,131.223,196.555,0.4364,9.841,203.674,3.105,1
280,62.998,811.254,157.554,215.133,0.3998,8.746,212.25,3.215,0
281,63.825,789.103,156.361,208.59,0.4,9.697,220.024,3.211,0
282,55.371,786.493,145.397,221.34,0.4069,10.4,213.579,3.249,0
283,65.524,784.001,153.17,214.387,0.4208,9.718,216.012,3.298,0
284,63.727,786.889,142.236,219.278,0.4143,9.096,200.125,3.198,0
285,57.78,791.676,138.104,202.438,0.4299,9.599,212.532,3.36,0
286,60.208,764.444,141.321,209.64,0.4474,9.052,216.476,3.216,0
287,63.002,796.356,137.612,200.526,0.3983,9.931,217.447,3.108,0
288,62.199,755.396,135.94,204.698,0.4129,9.165,219.836,3.161,0
289,60.89,785.3,155.598,210.235,0.3928,9.526,213.815,3.174,0
290,61.607,783.001,132.532,201.45,0.4558,9.2,214.125,3.241,0
291,61.042,768.38,132.558,197.539,0.4284,9.309,208.225,3.134,0
292,62.58,779.911,137.749,197.097,0.4287,10.02,214.047,3.179,0
293,67.592,771.87,142.118,190.648,0.3979,9.536,209.363,3.189,1
294,52.247,755.345,135.044,199.359,0.4261,9.304,204.59,3.169,0
295,61.1,773.14,152.736,216.722,0.4309,9.099,209.466,3.257,0
296,62.671,760.497,145.83,197.395,0.4203,8.845,222.624,3.245,0
297,63.125,786.429,150.396,200.242,0.4378,9.062,213.782,3.282,0
298,60.587,758.521,139.576,223.134,0.467,9.539,215.93,3.177,0
299,55.324,789.144,150.496,206.117,0.4007,9.843,211.631,3.284,0
300,63.246,759.419,132.792,209.883,0.4067,9.304,206.197,3.105,0
301,68.564,773.417,149.026,216.024,0.4058,10.05,220.468,3.103,0
302,56.171,765.551,132.881,212.634,0.4525,9.249,203.44,3.115,0
303,65.283,805.658,158.545,200.801,0.4323,9.417,212.62,3.201,0
304,60.752,785.259,154.881,210.325,0.4162,9.122,214.577,3.284,0
305,61.767,776.061,145.294,197.119,0.4216,9.847,216.124,3.158,0
306,57.999,786.776,145.799,229.746,0.4036,10.234,210.888,3.167,0
307,60.729,741.372,136.214,195.308,0.4457,8.883,205.658,3.185,0
308,66.94,781.941,125.552,197.339,0.4127,9.379,211.587,3.24,0
309,64.214,817.173,158.268,204.594,0.406,9.943,211.522,3.167,0
310,68.583,786.003,146.007,198.248,0.4295,8.994,211.924,3.163,0
311,66.474,783.683,145.751,220.986,0.4157,9.698,220.387,3.106,0
312,63.669,790.784,153.181,231.179,0.4131,9.928,209.132,3.16,0
313,68.627,799.766,150.406,207.383,0.4152,9.527,217.3,3.282,0
314,63.668,744.963,126.507,195.368,0.4431,9.693,215.992,3.206,0
315,65.146,751.449,135.445,190.002,0.4568,10.116,220.18,3.148,0
316,60.873,783.165,146.423,208.36,0.4297,10.182,214.199,3.287,0
317,62.253,767.271,141.986,206.806,0.4376,9.478,218.986,3.159,0
318,59.35,802.159,152.781,206.501,0.4109,9.314,213.821,3.299,0
319,65.76,776.395,151.194,213.134,0.4082,9.178,217.623,3.298,0
320,57.522,742.716,126.212,209.028,0.4411,9.842,206.948,3.204,0
321,64.973,758.811,139.873,211.457,0.4284,9.02,202.165,3.095,0
322,61.276,730.107,139.062,206.165,0.4069,9.412,216.801,3.36,1
323,66.451,778.234,132.328,198.399,0.4145,9.536,217.69,3.227,0
324,64.853,778.178,145.711,215.483,0.419,9.324,217.72,3.177,0
325,68.918,776.165,139.752,208.946,0.4118,9.598,213.206,3.267,0
326,64.777,800.947,148.689,217.918,0.4414,10.398,222.782,3.249,0
327,56.026,798.288,144.153,216.134,0.4241,9.457,211.984,3.292,0
328,61.746,776.793,142.851,198.153,0.4455,9.348,217.074,3.154,0
329,57.546,739.126,145.627,198.664,0.435,9.855,217.439,3.222,0
330,60.031,790.028,139.157,202.67,0.419,9.584,223.357,3.117,0
331,67.743,793.155,140.759,200.617,0.3999,10.004,214.104,3.247,0
332,64.423,786.901,137.957,214.493,0.4185,9.558,212.025,3.198,0
333,59.344,796.206,161.954,216.54,0.4162,9.413,207.191,3.22,0
334,58.148,756.914,134.838,216.558,0.4012,8.876,222.3,3.19,0
335,62.125,816.226,155.688,215.523,0.4012,8.933,217.122,3.182,0
336,57.377,760.188,136.237,209.741,0.4191,8.858,216.711,3.139,0
337,59.45,792.083,142.014,218.941,0.4244,9.633,230.277,3.255,0
338,63.186,750.28,134.438,211.434,0.4357,9.023,216.768,3.304,0
339,66.39,765.67,157.909,213.385,0.4131,9.939,209.015,3.161,0
340,64.313,808.567,163.315,225.873,0.4213,9.511,214.298,3.239,0
341,53.293,770.515,136.184,208.982,0.4191,9.415,209.081,3.23,0
342,63.157,795.755,154.259,209.602,0.3644,9.205,213.159,3.201,0
343,62.274,784.416,140.504,202.308,0.4102,9.718,213.02,3.093,0
344,63.573,778.976,132.258,212.821,0.4397,9.218,212.254,3.109,0
345,68.142,807.927,160.515,223.31,0.3827,9.155,208.771,3.145,0
346,54.16,771.428,150.549,210.816,0.4242,9.916,222.022,3.05,0
347,59.754,746.711,142.336,219.877,0.4569,9.624,216.225,3.299,0
348,64.245,766.777,137.744,192.644,0.4096,9.418,214.142,3.226,0
349,55.99,786.616,145.817,209.736,0.4184,9.725,218.067,3.198,0
350,67.609,790.204,153.31,211.507,0.394,9.503,218.028,3.047,0
351,63.4,752.563,139.509,202.976,0.4561,9.634,216.546,3.072,0
352,65.217,768.731,138.864,227.721,0.4213,9.214,218.811,3.2,0
353,59.83,768.336,130.167,206.207,0.4238,10.225,215.409,3.338,0
354,65.092,775.122,144.334,206.592,0.4456,9.297,218.722,3.151,0
355,66.06,757.467,145.793,210.382,0.4375,10.045,219.253,3.26,0
356,62.885,769.176,133.37,191.419,0.4069,9.434,215.92,3.166,0
357,62.891,767.375,145.684,204.071,0.4115,9.782,214.005,3.204,0
358,63.027,794.453,151.657,219.33,0.4253,9.757,222.775,3.285,0
359,58.719,792.76,154.079,206.966,0.4056,9.901,212.217,3.176,0
360,61.439,777.067,150.224,204.518,0.3826,9.206,216.889,3.152,0
361,61.42,772.625,137.926,218.92,0.4209,9.876,217.0,3.299,0
362,63.457,783.32,134.677,218.451,0.3925,10.146,212.127,3.203,0
363,65.799,767.391,137.483,212.482,0.4522,9.409,211.417,3.276,0
364,57.978,757.145,144.367,206.22,0.4289,9.512,212.748,3.152,0
365,61.525,762.815,136.05,206.115,0.408,9.317,212.482,3.298,0
366,67.63,771.67,137.643,201.948,0.4095,9.379,208.385,3.219,0
367,59.174,757.503,125.502,197.752,0.3916,10.099,211.403,3.23,1
368,58.875,781.199,157.628,204.423,0.3999,9.149,215.956,3.209,0
369,62.769,793.558,154.847,207.222,0.4349,9.17,221.422,3.165,0
370,65.209,753.197,142.348,201.139,0.4669,10.064,218.157,3.2,0
371,62.043,780.476,151.917,199.012,0.433,9.719,202.008,3.169,0
372,67.05,778.819,148.683,212.565,0.4186,10.242,218.813,3.267,0
373,65.256,787.938,145.671,212.024,0.4102,9.342,212.6,3.186,0
374,65.199,781.527,144.312,223.455,0.4024,9.544,217.649,3.095,0
